formula,A,B1,B2,X,A_radius,B1_radius,B2_radius,A_electroneg,B1_row,B2_row,X_row,B1_valence,B2_valence,B1_ionic_radius,B2_ionic_radius,B1_electrons,B2_electrons,B_electroneg_diff,B_radius_diff,tolerance_factor,octahedral_factor,X_is_Cl,X_is_Br,X_is_I,X_electroneg,X_is_F,A_group,X_group,X_radius,A_row,X_ionic_radius,B1_B2_ionic_radius_diff,B1_B2_ionic_radius_ratio,B1_X_ionic_radius_ratio,B2_X_ionic_radius_ratio,B1_X_electroneg_diff,B2_X_electroneg_diff,B1_B2_valence_electrons_diff,A_ionic_radius,lattice_constant,cell_volume,A_radius_ratio_in_cell,A_X_bond_length,A_coordination_number,A_charge_density,B1_X_bond_length,B2_X_bond_length,B1_B2_bond_length_ratio,B1_B2_charge_density_ratio,X_polarizability,X_space_occupancy,X_electron_affinity,X_first_ionization_energy,B_electroneg_avg
Cs2AlCuF6,Cs,Cu,Al,F,2.6,1.3,1.4,0.79,4,3,2,1,3,0.77,0.54,29,13,0.29,0.15,1.155093142,0.507782101,0,0,0,3.98,1,1,17,0.7,6,1.28,0.23,1.439252336,0.59922179,0.416342412,2.08,2.37,2,1.88,3.9,58.186,0.48516129,3.17,12,0.150496518,2.05,1.82,1.129120879,0.111806722,0.56,0.763821016,3.4,17.42,1.755
Cs2GaCuF6,Cs,Cu,Ga,F,2.6,1.3,1.4,0.79,4,4,2,1,3,0.77,0.62,29,31,0.09,0.07,1.130299476,0.540856031,0,0,0,3.98,1,1,17,0.7,6,1.28,0.15,1.241935484,0.59922179,0.482490272,2.08,2.17,2,1.88,4,62.099,0.474747475,3.17,12,0.150496518,2.05,1.9,1.078740157,0.174012978,0.56,0.763821016,3.4,17.42,1.855
Cs2GaInF6,Cs,In,Ga,F,2.6,1.7,1.4,0.79,5,4,2,1,3,0.92,0.62,49,31,0.03,0.31,1.08904767,0.59922179,0,0,0,3.98,1,1,17,0.7,6,1.28,0.3,1.483870968,0.715953307,0.482490272,2.2,2.17,2,1.88,4.1,69.427,0.457420925,3.17,12,0.150496518,2.21,1.9,1.157480315,0.102021178,0.56,0.763821016,3.4,17.42,1.795
Cs2GaTlF6,Cs,Tl,Ga,F,2.6,1.7,1.4,0.79,6,4,2,1,3,1.5,0.62,81,31,0.19,0.36,0.954368001,0.824902724,0,0,0,3.98,1,1,17,0.7,6,1.28,0.88,2.419354839,1.167315175,0.482490272,2.36,2.17,2,1.88,4.7,103.162,0.400852878,3.17,12,0.150496518,2.79,1.9,1.461942257,0.023538568,0.56,0.763821016,3.4,17.42,1.715
Cs2NdCuF6,Cs,Cu,Nd,F,2.6,1.3,1.8,0.79,4,6,2,1,3,0.77,0.98,29,60,0.76,0.53,1.035388833,0.682101167,0,0,0,3.98,1,1,17,0.7,6,1.28,0.21,0.783316378,0.59922179,0.764980545,2.08,2.84,2,1.88,4.3,80.79,0.434883183,3.17,12,0.150496518,2.05,2.27,0.906084656,0.693532988,0.56,0.763821016,3.4,17.42,1.52
Cs2NdHgF6,Cs,Hg,Nd,F,2.6,1.5,1.8,0.79,6,6,2,1,3,1.1,0.98,80,60,0.86,0.3,0.961957001,0.810505837,0,0,0,3.98,1,1,17,0.7,6,1.28,0.12,1.119023398,0.856031128,0.764980545,1.98,2.84,2,1.88,4.7,100.739,0.404040404,3.17,12,0.150496518,2.38,2.27,1.051587302,0.237881815,0.56,0.763821016,3.4,17.42,1.57
Cs2NdInF6,Cs,In,Nd,F,2.6,1.7,1.8,0.79,5,6,2,1,3,0.92,0.98,49,60,0.64,0.15,1.000667544,0.740466926,0,0,0,3.98,1,1,17,0.7,6,1.28,0.06,0.935910478,0.715953307,0.764980545,2.2,2.84,2,1.88,4.5,89.495,0.420299575,3.17,12,0.150496518,2.21,2.27,0.972222222,0.406607904,0.56,0.763821016,3.4,17.42,1.46
Cs2NdTlF6,Cs,Tl,Nd,F,2.6,1.7,1.8,0.79,6,6,2,1,3,1.5,0.98,81,60,0.48,0.1,0.885807624,0.96614786,0,0,0,3.98,1,1,17,0.7,6,1.28,0.52,1.525940997,1.167315175,0.764980545,2.36,2.84,2,1.88,5.1,129.017,0.372056204,3.17,12,0.150496518,2.79,2.27,1.227954145,0.093813539,0.56,0.763821016,3.4,17.42,1.38
Cs2PrCuF6,Cs,Cu,Pr,F,2.6,1.3,1.8,0.79,4,6,2,1,3,0.77,0.99,29,59,0.77,0.54,1.033714994,0.684824903,0,0,0,3.98,1,1,17,0.7,6,1.28,0.22,0.777777778,0.59922179,0.770428016,2.08,2.85,2,1.88,4.3,81.183,0.434180139,3.17,12,0.150496518,2.05,2.27,0.903296703,0.70845481,0.56,0.763821016,3.4,17.42,1.515
Cs2PrHgF6,Cs,Hg,Pr,F,2.6,1.5,1.8,0.79,6,6,2,1,3,1.1,0.99,80,59,0.87,0.31,0.960512001,0.813229572,0,0,0,3.98,1,1,17,0.7,6,1.28,0.11,1.111111111,0.856031128,0.770428016,1.98,2.85,2,1.88,4.7,101.195,0.403433476,3.17,12,0.150496518,2.38,2.27,1.048351648,0.243,0.56,0.763821016,3.4,17.42,1.565
Cs2PrInF6,Cs,In,Pr,F,2.6,1.7,1.8,0.79,5,6,2,1,3,0.92,0.99,49,59,0.65,0.16,0.999104001,0.743190661,0,0,0,3.98,1,1,17,0.7,6,1.28,0.07,0.929292929,0.715953307,0.770428016,2.2,2.85,2,1.88,4.5,89.915,0.419642857,3.17,12,0.150496518,2.21,2.27,0.969230769,0.415356343,0.56,0.763821016,3.4,17.42,1.455
Cs2PrTlF6,Cs,Tl,Pr,F,2.6,1.7,1.8,0.79,6,6,2,1,3,1.5,0.99,81,59,0.49,0.11,0.884582199,0.968871595,0,0,0,3.98,1,1,17,0.7,6,1.28,0.51,1.515151515,1.167315175,0.770428016,2.36,2.85,2,1.88,5.1,129.554,0.371541502,3.17,12,0.150496518,2.79,2.27,1.224175824,0.095832,0.56,0.763821016,3.4,17.42,1.375
Cs2CeCuF6,Cs,Cu,Ce,F,2.6,1.3,1.8,0.79,4,6,2,1,3,0.77,1.01,29,58,0.78,0.54,1.028962282,0.692607004,0,0,0,3.98,1,1,17,0.7,6,1.28,0.24,0.762376238,0.59922179,0.785992218,2.08,2.86,2,1.88,4.3,82.313,0.432183908,3.17,12,0.150496518,2.05,2.29,0.895424837,0.752264714,0.56,0.763821016,3.4,17.42,1.51
Cs2CeHgF6,Cs,Hg,Ce,F,2.6,1.5,1.8,0.79,6,6,2,1,3,1.1,1.01,80,58,0.88,0.31,0.956407249,0.821011673,0,0,0,3.98,1,1,17,0.7,6,1.28,0.09,1.089108911,0.856031128,0.785992218,1.98,2.86,2,1.88,4.7,102.503,0.401709402,3.17,12,0.150496518,2.38,2.29,1.039215686,0.258026797,0.56,0.763821016,3.4,17.42,1.56
Cs2CeInF6,Cs,In,Ce,F,2.6,1.7,1.8,0.79,5,6,2,1,3,0.92,1.01,49,58,0.66,0.16,0.994663539,0.750972763,0,0,0,3.98,1,1,17,0.7,6,1.28,0.09,0.910891089,0.715953307,0.785992218,2.2,2.86,2,1.88,4.5,91.125,0.417777778,3.17,12,0.150496518,2.21,2.29,0.960784314,0.441041427,0.56,0.763821016,3.4,17.42,1.45
Cs2CeTlF6,Cs,Tl,Ce,F,2.6,1.7,1.8,0.79,6,6,2,1,3,1.5,1.01,81,58,0.5,0.11,0.881099592,0.976653696,0,0,0,3.98,1,1,17,0.7,6,1.28,0.49,1.485148515,1.167315175,0.785992218,2.36,2.86,2,1.88,5.1,131.097,0.37007874,3.17,12,0.150496518,2.79,2.29,1.213507625,0.101758123,0.56,0.763821016,3.4,17.42,1.37
Cs2AsAgF6,Cs,Ag,As,F,2.6,1.4,1.2,0.79,5,4,2,1,3,1.15,0.58,47,33,0.25,0.23,1.040926959,0.673151751,0,0,0,3.98,1,1,17,0.7,6,1.28,0.57,1.982758621,0.894941634,0.451361868,2.05,1.8,2,1.88,4.3,79.507,0.437209302,3.17,12,0.150496518,2.43,1.86,1.305630027,0.042763102,0.56,0.763821016,3.4,17.42,2.055
Cs2AsCuF6,Cs,Cu,As,F,2.6,1.3,1.2,0.79,4,4,2,1,3,0.77,0.58,29,33,0.28,0.07,1.141833144,0.525291829,0,0,0,3.98,1,1,17,0.7,6,1.28,0.19,1.327586207,0.59922179,0.451361868,2.08,1.8,2,1.88,3.9,60.236,0.479591837,3.17,12,0.150496518,2.05,1.86,1.101876676,0.142459216,0.56,0.763821016,3.4,17.42,2.04
Cs2AsHgF6,Cs,Hg,As,F,2.6,1.5,1.2,0.79,6,4,2,1,3,1.1,0.58,80,33,0.18,0.3,1.053173159,0.653696498,0,0,0,3.98,1,1,17,0.7,6,1.28,0.52,1.896551724,0.856031128,0.451361868,1.98,1.8,2,1.88,4.2,76.766,0.442352941,3.17,12,0.150496518,2.38,1.86,1.278820375,0.048863511,0.56,0.763821016,3.4,17.42,2.09
Cs2AsInF6,Cs,In,As,F,2.6,1.7,1.2,0.79,5,4,2,1,3,0.92,0.58,49,33,0.4,0.45,1.099750842,0.583657588,0,0,0,3.98,1,1,17,0.7,6,1.28,0.34,1.586206897,0.715953307,0.451361868,2.2,1.8,2,1.88,4.1,67.419,0.461916462,3.17,12,0.150496518,2.21,1.86,1.18230563,0.083521684,0.56,0.763821016,3.4,17.42,1.98
Cs2AsTlF6,Cs,Tl,As,F,2.6,1.7,1.2,0.79,6,4,2,1,3,1.5,0.58,81,33,0.56,0.5,0.962577618,0.809338521,0,0,0,3.98,1,1,17,0.7,6,1.28,0.92,2.586206897,1.167315175,0.451361868,2.36,1.8,2,1.88,4.7,100.545,0.404301075,3.17,12,0.150496518,2.79,1.86,1.493297587,0.019270321,0.56,0.763821016,3.4,17.42,1.9
Cs2SbAgF6,Cs,Ag,Sb,F,2.6,1.4,1.4,0.79,5,5,2,1,3,1.15,0.76,47,51,0.12,0.03,0.999104001,0.743190661,0,0,0,3.98,1,1,17,0.7,6,1.28,0.39,1.513157895,0.894941634,0.591439689,2.05,1.93,2,1.88,4.5,89.915,0.419642857,3.17,12,0.150496518,2.43,2.04,1.190709046,0.096211282,0.56,0.763821016,3.4,17.42,1.99
Cs2SbCuF6,Cs,Cu,Sb,F,2.6,1.3,1.4,0.79,4,5,2,1,3,0.77,0.76,29,51,0.15,0.13,1.091703884,0.595330739,0,0,0,3.98,1,1,17,0.7,6,1.28,0.01,1.013157895,0.59922179,0.591439689,2.08,1.93,2,1.88,4.1,68.921,0.458536585,3.17,12,0.150496518,2.05,2.04,1.004889976,0.320514253,0.56,0.763821016,3.4,17.42,1.975
Cs2SbHgF6,Cs,Hg,Sb,F,2.6,1.5,1.4,0.79,6,5,2,1,3,1.1,0.76,80,51,0.05,0.1,1.01038057,0.723735409,0,0,0,3.98,1,1,17,0.7,6,1.28,0.34,1.447368421,0.856031128,0.591439689,1.98,1.93,2,1.88,4.4,86.938,0.424379233,3.17,12,0.150496518,2.38,2.04,1.166259169,0.109936389,0.56,0.763821016,3.4,17.42,2.025
Cs2SbInF6,Cs,In,Sb,F,2.6,1.7,1.4,0.79,5,5,2,1,3,0.92,0.76,49,51,0.27,0.25,1.053173159,0.653696498,0,0,0,3.98,1,1,17,0.7,6,1.28,0.16,1.210526316,0.715953307,0.591439689,2.2,1.93,2,1.88,4.2,76.766,0.442352941,3.17,12,0.150496518,2.21,2.04,1.078239609,0.18791266,0.56,0.763821016,3.4,17.42,1.915
Cs2SbTlF6,Cs,Tl,Sb,F,2.6,1.7,1.4,0.79,6,5,2,1,3,1.5,0.76,81,51,0.43,0.3,0.92670516,0.879377432,0,0,0,3.98,1,1,17,0.7,6,1.28,0.74,1.973684211,1.167315175,0.591439689,2.36,1.93,2,1.88,4.8,112.679,0.389233954,3.17,12,0.150496518,2.79,2.04,1.361858191,0.043355654,0.56,0.763821016,3.4,17.42,1.835
Cs2MnAgF6,Cs,Ag,Mn,F,2.6,1.4,1.3,0.79,5,4,2,1,3,1.15,0.65,47,25,0.38,0.17,1.025426329,0.69844358,0,0,0,3.98,1,1,17,0.7,6,1.28,0.5,1.782945736,0.894941634,0.501945525,2.05,2.43,2,1.88,4.4,83.167,0.43069874,3.17,12,0.150496518,2.43,1.93,1.261658031,0.058811786,0.56,0.763821016,3.4,17.42,1.74
Cs2MnCuF6,Cs,Cu,Mn,F,2.6,1.3,1.3,0.79,4,4,2,1,3,0.77,0.65,29,25,0.35,0.01,1.123208513,0.550583658,0,0,0,3.98,1,1,17,0.7,6,1.28,0.12,1.19379845,0.59922179,0.501945525,2.08,2.43,2,1.88,4,63.283,0.471769134,3.17,12,0.150496518,2.05,1.93,1.064766839,0.195923132,0.56,0.763821016,3.4,17.42,1.725
Cs2MnInF6,Cs,In,Mn,F,2.6,1.7,1.3,0.79,5,4,2,1,3,0.92,0.65,49,25,0.23,0.39,1.082463343,0.608949416,0,0,0,3.98,1,1,17,0.7,6,1.28,0.28,1.426356589,0.715953307,0.501945525,2.2,2.43,2,1.88,4.1,70.701,0.454655381,3.17,12,0.150496518,2.21,1.93,1.142487047,0.114866769,0.56,0.763821016,3.4,17.42,1.665
Cs2MnTlF6,Cs,Tl,Mn,F,2.6,1.7,1.3,0.79,6,4,2,1,3,1.5,0.65,81,25,0.07,0.44,0.949307725,0.83463035,0,0,0,3.98,1,1,17,0.7,6,1.28,0.85,2.325581395,1.167315175,0.501945525,2.36,2.43,2,1.88,4.7,104.82,0.398727466,3.17,12,0.150496518,2.79,1.93,1.443005181,0.026502333,0.56,0.763821016,3.4,17.42,1.585
Cs2BiAgF6,Cs,Ag,Bi,F,2.6,1.4,1.5,0.79,5,6,2,1,3,1.15,1.03,47,83,0.09,0.1,0.942312826,0.848249027,0,0,0,3.98,1,1,17,0.7,6,1.28,0.12,1.116504854,0.894941634,0.80155642,2.05,1.96,2,1.88,4.8,107.172,0.395789474,3.17,12,0.150496518,2.43,2.31,1.051835853,0.239495247,0.56,0.763821016,3.4,17.42,1.975
Cs2BiCuF6,Cs,Cu,Bi,F,2.6,1.3,1.5,0.79,4,6,2,1,3,0.77,1.03,29,83,0.12,0.26,1.024253072,0.700389105,0,0,0,3.98,1,1,17,0.7,6,1.28,0.26,0.747572816,0.59922179,0.80155642,2.08,1.96,2,1.88,4.4,83.453,0.43020595,3.17,12,0.150496518,2.05,2.31,0.887688985,0.797844479,0.56,0.763821016,3.4,17.42,1.96
Cs2BiHgF6,Cs,Hg,Bi,F,2.6,1.5,1.5,0.79,6,6,2,1,3,1.1,1.03,80,83,0.02,0.03,0.952337431,0.828793774,0,0,0,3.98,1,1,17,0.7,6,1.28,0.07,1.067961165,0.856031128,0.80155642,1.98,1.96,2,1.88,4.7,103.823,0.4,3.17,12,0.150496518,2.38,2.31,1.030237581,0.273660656,0.56,0.763821016,3.4,17.42,2.01
Cs2BiInF6,Cs,In,Bi,F,2.6,1.7,1.5,0.79,5,6,2,1,3,0.92,1.03,49,83,0.24,0.12,0.990262373,0.758754864,0,0,0,3.98,1,1,17,0.7,6,1.28,0.11,0.893203883,0.715953307,0.80155642,2.2,1.96,2,1.88,4.5,92.345,0.415929204,3.17,12,0.150496518,2.21,2.31,0.952483801,0.467764154,0.56,0.763821016,3.4,17.42,1.9
Cs2BiTlF6,Cs,Tl,Bi,F,2.6,1.7,1.5,0.79,6,6,2,1,3,1.5,1.03,81,83,0.4,0.17,0.877644299,0.984435798,0,0,0,3.98,1,1,17,0.7,6,1.28,0.47,1.45631068,1.167315175,0.80155642,2.36,1.96,2,1.88,5.1,132.651,0.368627451,3.17,12,0.150496518,2.79,2.31,1.203023758,0.107923654,0.56,0.763821016,3.4,17.42,1.82
