Formula,Band Gap,Is Gap Direct,B1_radius,B2_radius,A_electroneg,B1_row,B2_row,X_row,B2_ionic_radius,B1_electrons,B_electroneg_diff,B_radius_diff,tolerance_factor,X_is_Cl,X_is_Br,X_is_I,X_is_F,B1_B2_ionic_radius_diff,B2_X_ionic_radius_ratio,B1_X_electroneg_diff,B2_X_electroneg_diff,B1_B2_valence_electrons_diff,A_ionic_radius,cell_volume,A_radius_ratio_in_cell,B1_X_bond_length,B2_X_bond_length,B1_B2_charge_density_ratio,X_space_occupancy,X_electron_affinity,B_electroneg_avg
Cs2AgBiCl6,1.8663,False,1.6,1.6,0.79,5,6.0,3,1.03,47.0,0.09,0.0,0.899732422,1,0,0,0,0.12,0.569060773,1.23,1.14,36,1.67,195.112,0.575862069,2.96,2.84,0.298550725,0.763821016,3.61272,1.975
Cs2NaCeCl6,0.3601,False,1.8,1.85,0.79,3,6.0,3,1.01,11.0,0.19,0.05,0.923619123,1,0,0,0,0.01,0.55801105,2.23,2.04,47,1.67,180.362125,0.591150442,2.83,2.82,0.330065359,0.826285708,3.61272,1.025
Cs2KSmCl6,5.0573,True,2.2,1.85,0.79,4,6.0,3,0.958,19.0,0.35,0.35,0.875872448,1,0,0,0,0.422,0.529281768,2.34,1.99,43,1.67,211.4956779,0.560590802,3.19,2.768,0.231400966,0.704651024,3.61272,0.995
Cs2NaLaCl6,4.6183,True,1.8,1.95,0.79,3,6.0,3,1.032,11.0,0.17,0.15,0.920036679,1,0,0,0,0.012,0.570165746,2.23,2.06,46,1.67,182.4772244,0.588857546,2.83,2.842,0.337254902,0.816708203,3.61272,1.015
Cs2NaBiCl6,3.7126,False,1.8,1.6,0.79,3,6.0,3,1.03,11.0,1.09,0.2,0.920361207,1,0,0,0,0.01,0.569060773,2.23,1.14,72,1.67,182.284263,0.589065256,2.83,2.84,0.336601307,0.81757275,3.61272,1.475
Cs2InAgCl6,1.3421,True,1.6,1.55,0.79,5,5.0,3,0.8,47.0,0.15,0.05,0.936884748,1,0,0,0,0.35,0.44198895,1.23,1.38,2,1.67,172.808693,0.599640934,2.96,2.61,0.231884058,0.862402484,3.61272,1.855
Cs2NaDyCl6,4.9885,True,1.8,1.75,0.79,3,6.0,3,0.912,11.0,0.29,0.05,0.939922198,1,0,0,0,0.108,0.503867403,2.23,1.94,55,1.67,171.1387566,0.601585014,2.83,2.722,0.298039216,0.870817628,3.61272,1.075
Cs2LiMoCl6,1.5978,True,1.45,1.45,0.79,2,5.0,3,0.69,3.0,1.18,0.0,1.029279693,1,0,0,0,0.07,0.38121547,2.18,1.0,39,1.67,130.323843,0.65877712,2.57,2.5,0.302631579,1.143540911,3.61272,1.57
Cs2NaScCl6,3.8894,False,1.8,1.6,0.79,3,4.0,3,0.745,11.0,0.43,0.2,0.969071132,1,0,0,0,0.275,0.41160221,2.23,1.8,10,1.67,156.1554416,0.620241411,2.83,2.555,0.243464052,0.954373697,3.61272,1.145
Cs2NaMoCl6,1.6371,True,1.8,1.45,0.79,3,5.0,3,0.69,11.0,1.23,0.35,0.979070928,1,0,0,0,0.33,0.38121547,2.23,1.0,31,1.67,151.419437,0.626641651,2.83,2.5,0.225490196,0.984224014,3.61272,1.545
